Index;Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
8;40;0.0214;0.0;6;63;1600;0;1589;0;11;1
9;40;0.0214;0.0;6;69;1600;0;1599;0;1;1
0;40;0.0215;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0215;0.0;6;21;1600;0;1310;0;290;1
2;40;0.0215;0.0;6;27;1600;0;1490;0;110;1
3;40;0.0215;0.0;6;33;1600;0;1538;0;62;1
4;40;0.0215;0.0;6;39;1600;0;1571;0;29;1
5;40;0.0215;0.0;6;45;1600;0;1572;0;28;1
6;40;0.0215;0.0;6;51;1600;0;1594;0;6;1
7;40;0.0215;0.0;6;57;1600;0;1582;0;18;1
8;40;0.0215;0.0;6;63;1600;0;1592;0;8;1
9;40;0.0215;0.0;6;69;1600;0;1597;0;3;1
0;40;0.0216;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0216;0.0;6;21;1600;0;1300;0;300;1
2;40;0.0216;0.0;6;27;1600;0;1468;0;132;1
3;40;0.0216;0.0;6;33;1600;0;1526;0;74;1
4;40;0.0216;0.0;6;39;1600;0;1562;0;38;1
5;40;0.0216;0.0;6;45;1600;0;1583;0;17;1
6;40;0.0216;0.0;6;51;1600;0;1586;0;14;1
7;40;0.0216;0.0;6;57;1600;0;1585;0;15;1
8;40;0.0216;0.0;6;63;1600;0;1590;0;10;1
9;40;0.0216;0.0;6;69;1600;0;1597;0;3;1
0;40;0.0217;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0217;0.0;6;21;1600;0;1184;0;416;1
2;40;0.0217;0.0;6;27;1600;0;1490;0;110;1
3;40;0.0217;0.0;6;33;1600;0;1541;0;59;1
4;40;0.0217;0.0;6;39;1600;0;1571;0;29;1
5;40;0.0217;0.0;6;45;1600;0;1576;0;24;1
6;40;0.0217;0.0;6;51;1600;0;1591;0;9;1
7;40;0.0217;0.0;6;57;1600;0;1588;0;12;1
8;40;0.0217;0.0;6;63;1600;0;1594;0;6;1
9;40;0.0217;0.0;6;69;1600;0;1596;0;4;1
0;40;0.0218;0.0;6;15;1600;0;3;0;1597;0
