Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
40;0.06;0.06;6;15;1600;817;672;0;111;1
40;0.06;0.07;6;15;1600;896;617;0;87;1
40;0.06;0.08;6;15;1600;939;579;0;82;1
40;0.06;0.09;6;15;1600;1017;480;0;103;1
40;0.06;0.1;6;15;1600;992;445;0;163;1
40;0.06;0.11;6;15;1600;1058;356;0;186;1
40;0.06;0.12;6;15;1600;1058;305;0;237;1
40;0.06;0.13;6;15;1600;846;185;0;569;1
40;0.06;0.14;6;15;1600;838;198;0;564;1
40;0.06;0.15;6;15;1600;684;153;0;763;1
40;0.06;0.16;6;15;1600;288;40;0;1272;0
40;0.06;0.17;6;15;1600;615;86;0;899;0
40;0.06;0.18;6;15;1600;454;63;0;1083;0
40;0.06;0.19;6;15;1600;411;41;0;1148;0
40;0.06;0.2;6;15;1600;149;9;0;1442;0
40;0.06;0.21;6;15;1600;357;26;0;1217;0
40;0.06;0.22;6;15;1600;117;7;0;1476;0
40;0.06;0.23;6;15;1600;265;23;0;1312;0
40;0.06;0.24;6;15;1600;207;17;0;1376;0
40;0.06;0.25;6;15;1600;79;0;0;1521;0
40;0.06;0.26;6;15;1600;14;1;0;1585;0
40;0.06;0.27;6;15;1600;76;2;0;1522;0
40;0.06;0.28;6;15;1600;11;0;0;1589;0
40;0.06;0.29;6;15;1600;11;0;0;1589;0
40;0.06;0.3;6;15;1600;11;0;0;1589;0
40;0.06;0.31;6;15;1600;11;0;0;1589;0
40;0.06;0.32;6;15;1600;11;0;0;1589;0
40;0.06;0.33;6;15;1600;11;0;0;1589;0
40;0.06;0.34;6;15;1600;11;0;0;1589;0
40;0.06;0.35;6;15;1600;11;0;0;1589;0
40;0.06;0.36;6;15;1600;15;1;0;1584;0
40;0.06;0.37;6;15;1600;15;1;0;1584;0
40;0.06;0.38;6;15;1600;10;0;0;1590;0
40;0.06;0.39;6;15;1600;10;0;0;1590;0
40;0.06;0.4;6;15;1600;10;0;0;1590;0
40;0.06;0.41;6;15;1600;10;0;0;1590;0
40;0.06;0.42;6;15;1600;10;0;0;1590;0
40;0.06;0.43;6;15;1600;10;0;0;1590;0
40;0.06;0.44;6;15;1600;10;0;0;1590;0
40;0.06;0.45;6;15;1600;10;0;0;1590;0
40;0.06;0.46;6;15;1600;10;0;0;1590;0
40;0.06;0.47;6;15;1600;10;0;0;1590;0
40;0.06;0.48;6;15;1600;1;0;0;1599;0
40;0.06;0.49;6;15;1600;1;0;0;1599;0
40;0.07;0.01;6;15;1600;162;1431;0;7;1
40;0.07;0.02;6;15;1600;374;1219;0;7;1
40;0.07;0.03;6;15;1600;496;1095;0;9;1
40;0.07;0.04;6;15;1600;636;939;0;25;1
