Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
40;0.02072;0.0;6;15;1600;0;3;0;1597;0
40;0.02073;0.0;6;15;1600;0;3;0;1597;0
40;0.02074;0.0;6;15;1600;0;3;0;1597;0
40;0.02075;0.0;6;15;1600;0;3;0;1597;0
40;0.02076;0.0;6;15;1600;0;3;0;1597;0
40;0.02077;0.0;6;15;1600;0;3;0;1597;0
40;0.02078;0.0;6;15;1600;0;3;0;1597;0
40;0.02079;0.0;6;15;1600;0;3;0;1597;0
40;0.0208;0.0;6;15;1600;0;3;0;1597;0
40;0.02081;0.0;6;15;1600;0;3;0;1597;0
40;0.02082;0.0;6;15;1600;0;3;0;1597;0
40;0.02083;0.0;6;15;1600;0;3;0;1597;0
40;0.02084;0.0;6;15;1600;0;3;0;1597;0
40;0.02085;0.0;6;15;1600;0;3;0;1597;0
40;0.02086;0.0;6;15;1600;0;3;0;1597;0
40;0.02087;0.0;6;15;1600;0;3;0;1597;0
40;0.02088;0.0;6;15;1600;0;3;0;1597;0
40;0.02089;0.0;6;15;1600;0;3;0;1597;0
40;0.0209;0.0;6;15;1600;0;3;0;1597;0
40;0.02091;0.0;6;15;1600;0;3;0;1597;0
40;0.02092;0.0;6;15;1600;0;3;0;1597;0
40;0.02093;0.0;6;15;1600;0;3;0;1597;0
40;0.02094;0.0;6;15;1600;0;3;0;1597;0
40;0.02095;0.0;6;15;1600;0;3;0;1597;0
40;0.02096;0.0;6;15;1600;0;3;0;1597;0
40;0.02097;0.0;6;15;1600;0;3;0;1597;0
40;0.02098;0.0;6;15;1600;0;3;0;1597;0
40;0.02099;0.0;6;15;1600;0;3;0;1597;0
40;0.021;0.0;6;15;1600;0;3;0;1597;0
40;0.02101;0.0;6;15;1600;0;3;0;1597;0
40;0.02102;0.0;6;15;1600;0;3;0;1597;0
40;0.02103;0.0;6;15;1600;0;3;0;1597;0
40;0.02104;0.0;6;15;1600;0;3;0;1597;0
40;0.02105;0.0;6;15;1600;0;3;0;1597;0
40;0.02106;0.0;6;15;1600;0;3;0;1597;0
40;0.02107;0.0;6;15;1600;0;3;0;1597;0
40;0.02108;0.0;6;15;1600;0;3;0;1597;0
40;0.02109;0.0;6;15;1600;0;3;0;1597;0
40;0.0211;0.0;6;15;1600;0;3;0;1597;0
40;0.02111;0.0;6;15;1600;0;3;0;1597;0
40;0.02112;0.0;6;15;1600;0;3;0;1597;0
40;0.02113;0.0;6;15;1600;0;3;0;1597;0
40;0.02114;0.0;6;15;1600;0;3;0;1597;0
40;0.02115;0.0;6;15;1600;0;3;0;1597;0
